"","X","Y","Price","Category"
"414",570373.34555,3871375.62205,38.11,"Residential"
"415",570378.583877,3871361.89257,10,"Residential"
"416",570374.564279,3871361.9071,10,"Residential"
"417",570381.207896,3871398.03064,2.19,"Forest"
"418",570427.662166,3871389.99444,0.13,"Forest"
"419",570402.029296,3871396.53302,0.48,"Forest"
"420",570497.15509,3871223.63184,30.13,"Forest"
"421",570513.14506,3871284.83694,1.77,"Field"
"422",570498.116536,3871263.30007,44.15,"Field"
"423",570594.028514,3871181.85059,70.83,"Forest"
"424",570590.279063,3871224.00077,60.03,"Forest"
"425",570536.84394,3871235.80941,25.15,"Forest"
"426",570536.852975,3871276.74523,19.92,"Forest"
"427",570560.997991,3871269.94302,31.31,"Field"
"428",570616.275835,3871249.8608,24.98,"Field"
"429",570587.355245,3871262.97786,19.41,"Field"
"430",570665.149344,3871212.40801,6.05,"Residential"
"431",570661.828122,3871200.95642,65.92,"Field"
"432",570668.49559,3871234.40581,42.55,"Field"
"433",570680.616798,3871076.45143,192.85,"Residential"
"434",570724.016986,3871082.19843,4.35,"Rice_Field"
"435",570706.691881,3871074.25696,68.62,"Residential"
"436",570707.160368,3871059.44791,42.37,"Residential"
"437",570700.776219,3871003.25361,139.87,"Field"
"438",570761.880197,3870914.08056,33.24,"Field"
"439",570576.873542,3871356.10535,191.78,"Residential"
"440",570544.596358,3871364.90139,149.17,"Residential"
"441",570627.787973,3871295.87237,284.95,"Residential"
"442",570591.308023,3871306.93396,187.12,"Residential"
"443",570554.148321,3871325.98466,105.01,"Residential"
"444",570551.962199,3871308.18687,159.12,"Residential"
"445",570641.78965,3871341.45322,42.55,"Residential"
"446",570627.517066,3871344.53923,33.5,"Residential"
"447",570611.473688,3871343.04358,75,"Residential"
"448",570605.229699,3871355.28565,23.49,"Residential"
"449",570684.765143,3871328.77697,80.27,"Rice_Field"
"450",570663.90506,3871285.02598,35.07,"Field"
"451",570716.808695,3871243.78821,32.14,"Field"
"452",570693.076284,3871288.24008,24.15,"Field"
"453",570687.678421,3871257.59521,21.84,"Field"
"454",570719.947534,3871316.43696,10.83,"Field"
"455",570731.70836,3871311.21437,10.35,"Rice_Field"
"456",570748.406945,3871305.75992,15.18,"Field"
"457",570763.737216,3871283.05395,25.49,"Field"
"458",570767.586655,3871243.28501,55.6,"Field"
"459",570760.44096,3871215.56983,16.65,"Field"
"460",570757.64866,3871202.89678,0.65,"Forest"
"461",570840.417972,3871259.30933,214.47,"Residential"
"462",570873.168038,3871257.58713,10.83,"Residential"
"463",570860.560065,3871261.32909,71.25,"Residential"
"464",570863.471562,3871224.51783,26.5,"Residential"
"465",570862.714992,3871225.44234,28.86,"Residential"
"466",570863.791574,3871187.45761,38.91,"Field"
"467",570873.199588,3871150.0623,10.97,"Field"
"468",570861.923814,3871119.51813,4.52,"Forest"
"469",570919.810901,3871111.68534,31.66,"Forest"
"470",570853.665084,3871097.92652,76.75,"Rice_Field"
"471",570743.09841,3871133.50939,71.46,"Field"
"472",570816.359211,3871135.27385,23,"Field"
"473",570812.036235,3871122.713,20.98,"Field"
"474",570768.729056,3871106.08322,31.5,"Rice_Field"
"475",570730.292873,3871106.05918,27.9,"Field"
"476",570766.76451,3871153.04907,11.69,"Field"
"477",570786.960587,3871178.17243,48.71,"Field"
"478",570822.476297,3871154.23554,85.07,"Field"
"479",570813.510898,3871277.55072,137.5,"Residential"
"480",570806.925764,3871252.54715,66,"Residential"
"481",570814.00734,3871223.45538,63.07,"Field"
"482",570832.625683,3871191.91542,7.88,"Field"
"483",570801.544352,3871198.89062,29.44,"Field"
"484",570906.295059,3871223.98097,25.41,"Field"
"485",570890.847812,3871250.50213,79.95,"Residential"
"486",570901.522265,3871234.72654,10.83,"Residential"
"487",570913.709573,3871248.1923,66.06,"Residential"
"488",570932.670062,3871200.65489,115.39,"Field"
"489",570927.895381,3871144.28916,86.57,"Field"
"490",570724.81264,3871278.81393,30.99,"Field"
"491",570739.367962,3871237.22564,41.13,"Field"
"492",570676.391182,3871064.18358,1.6,"Field"
"493",570755.569047,3871061.48626,79.36,"Field"
"494",570434.466701,3871765.61163,67.34,"Residential"
"495",570468.269097,3871821.5274,75.56,"Residential"
"496",570451.5117,3871822.1372,73.1,"Residential"
"497",570449.39641,3871805.6339,17.47,"Residential"
"498",570444.070382,3871805.85254,41.65,"Residential"
"499",570463.42461,3871802.70213,67.5,"Residential"
"500",570457.594892,3871775.1103,461.5,"Residential"
"501",570496.646562,3871768.13305,147.67,"Residential"
"502",570483.461407,3871771.02336,157.55,"Residential"
"503",570513.40137,3871790.10479,72,"Residential"
"504",570497.810185,3871793.87964,224.67,"Residential"
"505",570690.1334,3871381.53744,2.2,"Field"
"506",570698.436122,3871378.40608,4.62,"Field"
"507",570687.593076,3871366.25385,16.56,"Residential"
"508",570696.338495,3871363.69678,29.65,"Residential"
"509",570710.832992,3871363.0043,68.64,"Residential"
"510",570727.884915,3871356.48311,13.67,"Field"
"511",570742.581888,3871350.66973,4.93,"Field"
"512",570757.128721,3871344.4839,48.32,"Residential"
"513",570799.357013,3871324.75046,49.37,"Residential"
"514",570775.068017,3871335.66293,7.15,"Field"
"515",570434.795043,3871413.42074,23.09,"Forest"
"516",570404.688217,3871428.4038,152.25,"Residential"
"517",570397.223003,3871412.07586,60.75,"Residential"
"518",570341.043933,3871404.47049,57.95,"Residential"
"519",570361.390734,3871426.46383,16,"Residential"
"520",570360.012956,3871418.95213,20,"Residential"
"521",570595.318349,3871440.8973,3.22,"Forest"
"522",570595.210604,3871409.994,236.02,"Residential"
"523",570565.147027,3871440.34076,31.54,"Residential"
"524",570560.469717,3871415.97243,151.9,"Residential"
"525",570514.342799,3871436.66334,19.67,"Forest"
"526",570508.278603,3871418.63572,40.13,"Field"
"527",570634.996381,3871384.96942,126.54,"Residential"
"528",570657.049139,3871377.27717,10.51,"Residential"
"529",570678.60791,3871387.02032,10.26,"Residential"
"530",570675.815497,3871371.84542,52.96,"Residential"
"531",570664.713999,3871377.76592,33.55,"Residential"
